file,reason
translations/fr-FR/content/rest/reference/checks.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/code-scanning.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/collaborators.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/commits.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/dependabot.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/deployments.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/gists.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/index.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/interactions.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/issues.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/licenses.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/markdown.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/meta.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/metrics.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/migrations.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/orgs.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/packages.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/pages.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/projects.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/rate-limit.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/reactions.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/releases.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/repos.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/scim.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/search.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/secret-scanning.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/teams.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/users.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/webhooks.md,file deleted because it no longer exists in main
translations/fr-FR/content/site-policy/privacy-policies/github-data-protection-agreement.md,file deleted because it no longer exists in main
translations/fr-FR/content/sponsors/receiving-sponsorships-through-github-sponsors/setting-up-github-sponsors-for-your-user-account.md,file deleted because it no longer exists in main
translations/fr-FR/data/features/security-overview-views.yml,file deleted because it no longer exists in main
translations/fr-FR/data/glossaries/internal.yml,file deleted because it no longer exists in main
translations/fr-FR/data/release-notes/enterprise-server/2-20/0.yml,file deleted because it no longer exists in main
translations/fr-FR/data/release-notes/enterprise-server/2-20/1.yml,file deleted because it no longer exists in main
translations/fr-FR/data/release-notes/enterprise-server/2-20/10.yml,file deleted because it no longer exists in main
